contestant_name,age,hometown,profession,industry,num_season,finish,winner,gender,black,asian,latinx,poc,jewish,muslim,lgbt,num_appearance,state,country,region,birthdate,astrological_sign,num_boot,initial-tribe,tribe_color
Sonja Christopher,63,"Walnut Creek, CA",Musician/Retired Teacher,Education,1,16,0,F,0,0,0,0,0,0,1,1,California,US,West,1/28/37,Aquarius,1,Tagi,Orange
B.B. Andersen,64,"Mission Hills,  KS",Real Estate Developer,Real Estate & Construction,1,15,0,M,0,0,0,0,0,0,0,1,Kansas,US,Midwest,1/18/36,Capricorn,2,Pagong,Yellow
Stacey Stillman,27,"San Francisco,  CA",Attorney,"Law, Public Safety, Military",1,14,0,F,0,0,0,0,0,0,0,1,California,US,West,8/11/72,Leo,3,Tagi,Orange
Ramona Gray,29,"Edison,  NJ",Biochemist,"Science, Technology, Engineering, Energy",1,13,0,F,1,0,0,1,0,0,0,1,New Jersey,US,Northeast,1/20/71,Aquarius,4,Pagong,Yellow
Dirk Been,23,"Spring Green,  WI",Dairy Farmer,Agriculture and Environment,1,12,0,M,0,0,0,0,0,0,0,1,Wisconsin,US,Midwest,6/15/76,Gemini,5,Tagi,Orange
Joel Klug,27,"Sherwood,  AR",Health Club Consultant,"Sports, Fitness, Recreation",1,11,0,M,0,0,0,0,0,0,0,1,Arkansas,US,South,4/13/72,Aries,6,Pagong,Yellow
Gretchen Cordy,38,"Clarksville,  TN",Teacher,Education,1,10,0,F,0,0,0,0,0,0,0,1,Tennessee,US,South,2/7/62,Aquarius,7,Pagong,Yellow
Greg Buis,24,"Gold Hill,  CO",Ivy League Graduate,Education,1,9,0,M,0,0,0,0,0,0,0,1,Colorado,US,West,12/31/75,Capricorn,8,Pagong,Yellow
Jenna Lewis,22,"Franklin,  NH",Student,Education,1,8,0,F,0,0,0,0,0,0,0,1,New Hampshire,US,Northeast,7/16/77,Cancer,9,Pagong,Yellow
Gervase Peterson,30,"Willingboro,  NJ",YMCA Basketball Coach,"Sports, Fitness, Recreation",1,7,0,M,1,0,0,1,0,0,0,1,New Jersey,US,Northeast,11/2/69,Scorpio,10,Pagong,Yellow
